Fighter,Fighter Odds,Opponent,Opponent Odds,Event,Date
John Makdessi,+100,Ignacio Bahamondes,-120,UFC on ABC 2: Vettori vs. Holland,Apr 10th 2021
John Makdessi,+160,Francisco Trinaldo,-200,UFC on ESPN+ 28: Lee vs. Oliveira,Mar 14th 2020
John Makdessi,-190,Renee Forte,+150,UFC 165: Jones vs. Gustafsson,Sep 21st 2013
John Makdessi,+100,Daron Cruickshank,-140,UFC 158: St-Pierre vs. Diaz,Mar 16th 2013
John Makdessi,+170,Sam Stout,-230,UFC 154: St-Pierre vs. Condit,Nov 17th 2012
John Makdessi,-105,Anthony Njokuani,-135,UFC 145: Jones vs. Evans,Apr 21st 2012
John Makdessi,-120,Dennis Hallman,-120,UFC 140: Jones vs. Machida,Dec 10th 2011
John Makdessi,-175,Kyle Watson,+145,UFC 129: St-Pierre vs. Shields,Apr 30th 2011
Angela Magana,+250,Amanda Cooper,-350,UFC 218: Holloway vs. Aldo 2,Dec 2nd 2017
Angela Magana,+335,Michelle Waterson,-505,UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,Jul 12th 2015
Angela Magana,+400,Tecia Torres,-600,UFC: The Ultimate Fighter 20 Finale,Dec 12th 2014
Luis Pajuelo,+205,Fernando Padilla,-250,UFC,Mar 24th 2024
Chris Padilla,+130,Rong Zhu,-175,UFC,Sep 7th 2024
Chris Padilla,+250,James Llontop,-333,UFC,Apr 27th 2024
Fredson Paixao,-170,Pablo Garza,+150,UFC: The Ultimate Fighter 12 Finale,Dec 4th 2010
Alex Pereira,-535,Khalil Rountree Jr.,+400,UFC,Oct 6th 2024
Alex Pereira,-135,Jiri Prochazka,+114,UFC 303,Jun 30th 2024
Alex Pereira,-163,Jamahal Hill,+130,UFC 300,Apr 14th 2024
Alex Pereira,+105,Jiri Prochazka,-138,UFC,Nov 12th 2023
Alex Pereira,+128,Jan Brachowicz,-164,UFC,Jul 30th 2023
Alex Pereira,+170,Israel Adesanya,-200,UFC 281,Nov 12th 2022
Alex Pereira,+150,Sean Strickland,-175,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
Alex Pereira,-170,Bruno Silva,+145,UFC,Mar 12th 2022
Alex Pereira,-150,Andreas Michailidis,+130,UFC 268: Usman vs. Covington 2,Nov 6th 2021
Luis Pena,-240,Khama Worthy,+205,UFC on ESPN 12: Poirier vs. Hooker,Jun 27th 2020
Luis Pena,-165,Matt Frevola,+125,UFC on ESPN+ 19: Joanna vs. Waterson,Oct 12th 2019
Luis Pena,-265,Matt Wiman,+185,UFC on ESPN+ 12: Moicano vs. The Korean Zombie,Jun 22nd 2019
Luis Pena,-230,Steven Peterson,+170,UFC on ESPN+ 6: Thompson vs. Pettis,Mar 23rd 2019
Luis Pena,-275,Mike Trizano,+195,UFC Fight Night 139: Korean Zombie vs. Rodriguez,Nov 10th 2018
Luis Pena,-290,Richie Smullen,+210,UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya,Jul 6th 2018
Luis Pena,-175,Alex Munoz,+150,UFC on ESPN 22: Whittaker vs. Gastelum,Apr 17th 2021
Marcin Prachnio,+110,Modestas Bukauskas,-150,UFC,Jul 27th 2024
Marcin Prachnio,+110,Devin Clark,-130,UFC,Feb 10th 2024
Marcin Prachnio,+200,Vitor Petrino,-275,UFC 290,Jul 8th 2023
Marcin Prachnio,-110,William Knight,-110,UFC Fight Night 219,Feb 18th 2023
Marcin Prachnio,-145,William Knight,+120,UFC Fight Night 215,Nov 19th 2022
Marcin Prachnio,-150,Philipe Lins,+130,UFC Fight Night: Lemos vs. Andrade,Apr 23rd 2022
Marcin Prachnio,-193,Isaac Villanueva,+168,UFC Fight Night 190: Gane vs. Volkov,Jun 26th 2021
Marcin Prachnio,+250,Khalil Rountree,-300,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
Marcin Prachnio,+145,Mike Rodriguez,-170,UFC on ESPN 15: Munhoz vs. Edgar,Aug 22nd 2020
Marcin Prachnio,+250,Magomed Ankalaev,-350,UFC Fight Night 136: Hunt vs. Oleinik,Sep 15th 2018
Marcin Prachnio,-280,Sam Alvey,+200,UFC on FOX 28: Stephens vs. Emmett,Feb 24th 2018
Julianna Pena,+130,Raquel Pennington,-175,UFC,Oct 6th 2024
Julianna Pena,+210,Amanda Nunes,-250,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
Julianna Pena,+500,Amanda Nunes,-800,UFC 269,Dec 11th 2021
Julianna Pena,-140,Sara McMann,+120,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
Julianna Pena,+160,Germaine de Randamie,-185,UFC on ESPN 16: Holm vs. Aldana,Oct 3rd 2020
Julianna Pena,-155,Nicco Montano,+115,UFC on ESPN+ 13: De Randamie vs. Ladd,Jul 13th 2019
Julianna Pena,+130,Valentina Shevchenko,-170,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017
Julianna Pena,+120,Cat Zingano,-160,UFC 200: Tate vs. Nunes,Jul 9th 2016
Julianna Pena,-180,Jessica Eye,+140,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
Julianna Pena,-305,Milana Dudieva,+225,UFC Fight Night 63: Mendes vs. Lamas,Apr 4th 2015
Alex Perez,+142,Tatsuro Taira,-170,UFC,Jun 15th 2024
Alex Perez,+145,Matheus Nicolau,-175,UFC,Apr 28th 2024
Alex Perez,+250,Muhammad Mokaev,-310,UFC,Mar 2nd 2024
Alex Perez,+190,Manel Kape,-225,UFC Fight Night 222,Mar 25th 2023
Alex Perez,+235,Alexandre Pantoja,-275,UFC 277: Pena vs. Nunes 2,Jul 30th 2022
Alex Perez,-375,Matt Schnell,+290,UFC 271,Feb 12th 2022
Alex Perez,-303,Matt Schnell,+240,UFC 269,Dec 11th 2021
Alex Perez,+180,Deiveson Figueiredo,-210,UFC 255: Figueiredo vs. Perez,Nov 21st 2020
Alex Perez,-185,Mark de La Rosa,+145,UFC on ESPN 2: Barboza vs. Gaethje,Mar 30th 2019
Alex Perez,+155,Joseph Benavidez,-195,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018
Alex Perez,-120,Jose Torres,-120,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
Alex Perez,-160,Eric Shelton,+120,UFC on FOX 28: Stephens vs. Emmett,Feb 24th 2018
Alex Perez,-260,Carls John de Tomas,+180,UFC Fight Night 123: Swanson vs. Ortega,Dec 9th 2017
Alex Perez,+110,Jussier Formiga,-130,UFC 250: Nunes vs. Spencer,Jun 6th 2020
Alex Perez,-280,Jordan Espinosa,+220,UFC on ESPN+ 24: Blaydes vs. Dos Santos,Jan 25th 2020
Alex Perez,,Askar Askarov,,UFC Fight Night 211,Jun 4th 2022
Ivana Petrovic,-455,Na Liang,+350,UFC,Apr 27th 2024
Ivana Petrovic,-225,Luana Carolina,+163,UFC Fight Night: Strickland vs. Magomedov,Jul 1st 2023
Kyle Prepolec,+170,Austin Hubbard,-230,UFC on ESPN+ 16: Cowboy vs. Gaethje,Sep 14th 2019
Kyle Prepolec,-135,Nordine Taleb,-105,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 4th 2019
Sarah Moras,-190,Vanessa Melo,+165,UFC on ABC 1: Holloway vs. Kattar,Jan 16th 2021
Sarah Moras,+235,Sijara Eubanks,-275,UFC on ESPN+ 29: Smith vs. Teixeira,May 13th 2020
Sarah Moras,+165,Liana Jojua,-215,UFC 242: Khabib vs. Poirier,Sep 7th 2019
Sarah Moras,+220,Macy Chiasson,-300,UFC on ESPN+ 9: Iaquinta vs. Cowboy,May 4th 2019
Sarah Moras,-285,Talita Bernardo,+205,UFC Fight Night 138: Volkan vs. Smith,Oct 27th 2018
Sarah Moras,+175,Ashlee Evans-Smith,-245,UFC 215: Nunes vs. Shevchenko 2,Sep 9th 2017
Sarah Moras,+235,Jessica Andrade,-315,UFC Fight Night 71: Mir vs. Duffee,Jul 15th 2015
Sarah Moras,+150,Alexis Dufresne,-190,UFC: The Ultimate Fighter 19 Finale,Jul 6th 2014
Sarah Moras,+155,Lucie Pudilova,-185,UFC Fight Night 126: Cerrone vs. Medeiros,Feb 18th 2018
Elvis Mutapcic,+105,Anthony Smith,-145,UFC: The Ultimate Fighter 24 Finale,Dec 3rd 2016
Elvis Mutapcic,-120,Kevin Casey,-120,UFC 199: Rockhold vs. Bisping II,Jun 4th 2016
Elvis Mutapcic,-165,Francimar Barroso,+125,UFC Fight Night 81: Dillashaw vs. Cruz,Jan 17th 2016
Magomed Mustafaev,-180,Rafael Fiziev,+140,UFC on ESPN+ 7: Overeem vs. Oleinik,Apr 20th 2019
Magomed Mustafaev,+110,Kevin Lee,-150,UFC Fight Night 99: Mousasi vs. Hall 2,Nov 19th 2016
Magomed Mustafaev,-280,Joe Proctor,+200,UFC 194: Aldo vs. McGregor,Dec 12th 2015
Magomed Mustafaev,+100,Piotr Hallmann,-140,UFC Fight Night 69: Jedrzejczyk vs. Penne,Jun 20th 2015
Azamat Murzakanov,-200,Alonzo Menifield,+165,UFC,Aug 3rd 2024
Azamat Murzakanov,-175,Khalil Rountree Jr.,+145,UFC Fight Night,Dec 2nd 2023
Azamat Murzakanov,+170,Dustin Jacoby,-200,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
Azamat Murzakanov,+115,Dustin Jacoby,-145,UFC Fight Night 222,Mar 25th 2023
Azamat Murzakanov,-175,Devin Clark,+150,UFC Fight Night: Vera vs. Cruz,Aug 13th 2022
Azamat Murzakanov,+125,Tafon Nchukwi,-145,UFC,Mar 12th 2022
Azamat Murzakanov,-227,Jared Vanderaa,+187,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Azamat Murzakanov,-225,Philipe Lins,+185,UFC Fight Night: Font vs. Aldo,Dec 4th 2021
Khalid Murtazaliev,-160,C.B. Dollaway,+140,UFC Fight Night 136: Hunt vs. Oleinik,Sep 15th 2018
Nicholas Musoke,-230,Alexander Yakovlev,+170,UFC Fight Night 53: Nelson vs. Story,Oct 4th 2014
Nicholas Musoke,+335,Kelvin Gastelum,-505,UFC Fight Night 44: Swanson vs. Stephens,Jun 28th 2014
Nicholas Musoke,+145,Viscardi Andrade,-185,UFC Fight Night 36: Machida vs. Mousasi,Feb 15th 2014
Nicholas Musoke,+180,Alessio Sakara,-220,UFC Fight Night 30: Machida vs. Munoz,Oct 26th 2013
Lauren Murphy,+385,Jessica Andrade,-500,UFC 283,Jan 21st 2023
Lauren Murphy,+136,Miesha Tate,-162,UFC on ABC: Ortega vs. Rodriguez,Jul 16th 2022
Lauren Murphy,+145,Miesha Tate,-175,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
Lauren Murphy,+520,Valentina Shevchenko,-720,UFC 266: Volkanovski vs. Ortega,Sep 25th 2021
Lauren Murphy,+130,Joanne Calderwood,-150,UFC 263: Adesanya vs. Vettori 2,Jun 12th 2021
Lauren Murphy,-350,Liliya Shakirova,+250,UFC 254: Khabib vs. Gaethje,Oct 24th 2020
Lauren Murphy,+125,Roxanne Modafferi,-165,UFC on ESPN 11: Blaydes vs. Volkov,Jun 20th 2020
Lauren Murphy,+225,Andrea Lee,-305,UFC 247: Jones vs. Reyes,Feb 8th 2020
Lauren Murphy,+150,Mara Romero Borella,-190,UFC on ESPN 5: Covington vs. Lawler,Aug 3rd 2019
Lauren Murphy,+150,Sijara Eubanks,-190,UFC Fight Night 131: Rivera vs. Moraes,Jun 1st 2018
Lauren Murphy,-260,Katlyn Chookagian,+180,UFC Fight Night 91: McDonald vs. Lineker,Jul 13th 2016
Lauren Murphy,-310,Kelly Faszholz,+230,UFC Fight Night 83: Cowboy vs. Cowboy,Feb 21st 2016
Lauren Murphy,+115,Liz Carmouche,-155,UFC Fight Night 63: Mendes vs. Lamas,Apr 4th 2015
Lauren Murphy,+210,Sara McMann,-290,UFC Fight Night 47: Bader vs. Saint Preux,Aug 16th 2014
Lauren Murphy,+150,Barb Honchak,-190,UFC: The Ultimate Fighter 26 Finale,Dec 1st 2017
Samandar Murodov,-1000,Jonathan Piersma,+500,Road to UFC,Aug 24th 2024
Lerone Murphy,-142,Edson Barboza,+120,Road to UFC,May 19th 2024
Lerone Murphy,-163,Josh Culibao,+125,UFC 292,Jul 22nd 2023
Lerone Murphy,-275,Gabriel Santos.,+235,UFC 286,Mar 18th 2023
Lerone Murphy,-300,Makwan Amirkhani,+250,UFC 267: Brachowicz vs. Teixeira,Oct 30th 2021
Lerone Murphy,-225,Douglas Silva de Andrade,+190,UFC on ESPN 20: Chiesa vs. Magny,Jan 20th 2021
Lerone Murphy,+120,Ricardo Ramos,-140,UFC on ESPN 13: Kattar vs. Ige,Jul 15th 2020
Vince Murdock,+185,Jordan Griffin,-265,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
Kanako Murata,-218,Vanessa Demopoulos,+180,UFC Fight Night,Oct 7th 2023
Kanako Murata,+105,Virna Jandiroba,-125,UFC on ESPN: The Korean Zombie vs. Ige,Jun 19th 2021
Kanako Murata,-140,Randa Markos,+120,UFC Fight Night 182: Felder vs. dos Anjos,Nov 14th 2020
Johnny Munoz,+110,Aoriqileng,-150,UFC Fight Night,Oct 7th 2023
Johnny Munoz,-180,Daniel Santos,+155,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
Makhmud Muradov,+105,Aliaskhab Khizriev,-138,UFC Fight Night,Feb 4th 2024
Makhmud Muradov,-275,Bryan Barberena,+200,UFC 292,Jul 22nd 2023
Makhmud Muradov,+170,Caio Borralho,-200,UFC 281,Oct 22nd 2022
Makhmud Muradov,-235,Gerald Meerschaert,+200,UFC on ESPN: Barboza vs. Chikadze,Aug 28th 2021
Makhmud Muradov,+155,Andrew Sanchez,-185,UFC 257: Poirier vs. McGregor 2,Jan 23rd 2021
Makhmud Muradov,-260,Trevor Smith,+200,UFC on ESPN 7: Overeem vs. Rozenstruik,Dec 7th 2019
Makhmud Muradov,+170,Alessio Di Chirico,-230,UFC on ESPN+ 18: Hermansson vs. Cannonier,Sep 28th 2019
Andre Muniz,+205,Jun Yong Park,-250,UFC,Dec 10th 2023
Andre Muniz,-188,Paul Craig,+140,UFC 292,Jul 22nd 2023
Andre Muniz,-110,Brendan Allen,-110,UFC Fight Night 220,Feb 25th 2023
Andre Muniz,-225,Uriah Hall,+190,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
Andre Muniz,-125,Eryk Anders,+105,UFC 269,Dec 11th 2021
Andre Muniz,+100,Ronaldo Souza,-120,UFC 262: Oliveira vs. Chandler,May 15th 2021
Andre Muniz,+120,Bartosz Fabinski,-140,UFC on ESPN+ 34: Overeem vs. Sakai,Sep 5th 2020
Andre Muniz,-120,Antonio Arroyo,-120,UFC on ESPN+ 22: Blachowicz vs. Jacare,Nov 16th 2019
Pedro Munhoz,+136,Kyler Phillips,-162,UFC 299,Mar 10th 2024
Pedro Munhoz,+154,Marlon Vera,-185,UFC,Aug 20th 2023
Pedro Munhoz,+200,Chris Gutierrez,-235,UFC Fight Night: Holloway vs. Allen,Apr 15th 2023
Pedro Munhoz,+170,Chris Gutierrez,-200,UFC Fight Night 222,Mar 25th 2023
Pedro Munhoz,+210,Sean O'Malley,-250,UFC 276: Adesanya vs. Cannonier,Jul 2nd 2022
Pedro Munhoz,-155,Dominick Cruz,+135,UFC 269,Dec 11th 2021
Pedro Munhoz,+115,Jose Aldo,-138,UFC 265: Lewis vs. Gane,Aug 7th 2021
Pedro Munhoz,+130,Jimmie Rivera,-150,UFC Fight Night 186: Rozenstruik vs. Gane,Feb 27th 2021
Pedro Munhoz,-210,Frankie Edgar,+180,UFC on ESPN 15: Munhoz vs. Edgar,Aug 22nd 2020
Pedro Munhoz,-125,Aljamain Sterling,-115,UFC 238: Cejudo vs. Moraes,Jun 8th 2019
Pedro Munhoz,+145,Cody Garbrandt,-185,UFC 235: Jones vs. Smith,Mar 2nd 2019
Pedro Munhoz,+195,Bryan Caraway,-275,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018
Pedro Munhoz,-155,Brett Johns,+115,UFC 227: Dillashaw vs. Garbrandt 2,Aug 4th 2018
Pedro Munhoz,+140,John Dodson,-180,UFC 222: Cyborg vs. Kunitskaya,Mar 3rd 2018
Pedro Munhoz,+110,Rob Font,-150,UFC Fight Night 119: Machida vs. Brunson,Oct 28th 2017
Pedro Munhoz,-505,Damian Stasiak,+335,UFC Fight Night 109: Gustafsson vs. Teixeira,May 28th 2017
Pedro Munhoz,+125,Justin Scoggins,-165,UFC Fight Night 100: Bader vs. Nogueira,Nov 19th 2016
Pedro Munhoz,-265,Russell Doane,+185,UFC Fight Night 90: Dos Anjos vs. Alvarez,Jul 7th 2016
Pedro Munhoz,-210,Jimmie Rivera,+160,UFC Fight Night 77: Belfort vs. Henderson 3,Nov 7th 2015
Pedro Munhoz,-385,Jerrod Sanders,+265,UFC Fight Night 54: MacDonald vs. Saffiedine,Oct 4th 2014
Pedro Munhoz,-265,Matt Hobar,+185,UFC: The Ultimate Fighter Brazil 3 Finale,May 31st 2014
Pedro Munhoz,+170,Raphael Assuncao,-230,UFC 170: Rousey vs. McMann,Feb 22nd 2014
Jamie Mullarkey,-180,Mauricio Ruffy,+150,UFC,May 4th 2024
Jamie Mullarkey,+154,Nasrat Haqparast,-185,UFC,Dec 10th 2023
Jamie Mullarkey,-188,John Makdessi,+140,UFC 293,Sep 10th 2023
Jamie Mullarkey,+185,Guram Kutateladze,-225,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
Jamie Mullarkey,-590,Muhammadjon Naimov,+390,UFC on ESPN: Hermansson vs. Allen,Jun 3rd 2023
Jamie Mullarkey,-250,Francisco Prado,+210,UFC 284: Makhachev vs. Volkanovski,Feb 12th 2023
Jamie Mullarkey,+130,Michael Johnson,-150,UFC on ESPN: dos Anjos vs. Fiziev,Jul 9th 2022
Jamie Mullarkey,+130,Jalin Turner,-150,UFC Fight Night 204,Mar 5th 2022
Jamie Mullarkey,-110,Devonte Smith,-110,UFC Fight Night: Santos vs. Walker,Oct 2nd 2021
Jamie Mullarkey,+200,Fares Ziam,-235,UFC on ESPN+ 38: Ortega vs. The Korean Zombie,Oct 17th 2020
Jamie Mullarkey,-105,Brad Riddell,-135,UFC 243: Whittaker vs. Adesanya,Oct 5th 2019
Mark Munoz,-115,Luke Barnatt,-125,UFC Fight Night 66: Edgar vs. Faber,May 16th 2015
Mark Munoz,-280,Roan Carneiro,+200,UFC 184: Rousey vs. Zingano,Feb 28th 2015
Mark Munoz,+160,Gegard Mousasi,-210,UFC Fight Night 41: Munoz vs. Mousasi,May 31st 2014
Mark Munoz,+260,Lyoto Machida,-380,UFC Fight Night 30: Machida vs. Munoz,Oct 26th 2013
Mark Munoz,-120,Tim Boetsch,-120,UFC 162: Silva vs. Weidman,Jul 6th 2013
Mark Munoz,+120,Chris Weidman,-160,UFC on FUEL TV 4: Munoz vs. Weidman,Jul 11th 2012
Mark Munoz,-225,Chris Leben,+175,UFC 138: Leben vs. Munoz,Nov 5th 2011
Mark Munoz,+160,Demian Maia,-210,UFC 131: Carwin vs. Dos Santos,Jun 11th 2011
Mark Munoz,-225,C.B. Dollaway,+175,UFC On Versus 3: Sanchez vs. Kampmann,Mar 3rd 2011
Mark Munoz,-185,Aaron Simpson,+155,UFC 123: Rampage vs. Machida,Nov 20th 2010
Mark Munoz,+130,Yushin Okami,-160,UFC On Versus 2,Aug 1st 2010
Mark Munoz,-145,Kendall Grove,+115,UFC 112: Invincible,Apr 10th 2010
