First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Danni,McCormack,Mac,"5' 4""",125 lbs.,"62.0""",Southpaw,9,2,0,,6.93,51%,4.53,60%,N/A,6.00,42%,50%,2.0,"Mar 15, 1990"
Nick,Meregali,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Jack,McGlaughlin,,--,--,--,Orthodox,1,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Brandon,Michaels,,"5' 9""",185 lbs.,--,,4,14,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Andreas,Michailidis,The Spartan,"6' 0""",170 lbs.,"76.0""",Orthodox,13,6,0,,2.90,51%,3.57,44%,N/A,1.12,27%,50%,0.0,"Jul 18, 1988"
Bojan,Mihajlovic,,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,0,,1.23,35%,5.95,47%,N/A,0.00,0%,33%,0.0,"Mar 30, 1980"
Toby,Misech,2 Quick,"5' 8""",145 lbs.,--,Southpaw,9,5,0,,3.27,40%,7.73,46%,N/A,0.00,0%,0%,0.0,"Mar 07, 1988"
Harry,Moskowitz,Dirty,"6' 5""",275 lbs.,--,Orthodox,6,12,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
John,Moraga,,"5' 6""",125 lbs.,"66.0""",Orthodox,19,7,0,,2.57,43%,2.55,56%,N/A,0.62,23%,44%,1.1,"Mar 20, 1984"
Melissa,Mullins,No Mess,"5' 7""",135 lbs.,"68.0""",Orthodox,6,1,0,,2.73,52%,3.64,47%,N/A,0.65,20%,75%,0.0,"Jul 23, 1991"
Sammy,Morgan,The Squeeze,"5' 10""",170 lbs.,--,Orthodox,18,12,0,,1.05,22%,3.74,40%,N/A,1.43,20%,0%,0.5,"Sep 28, 1981"
Nicholas,Musoke,Nico,"6' 0""",170 lbs.,"75.0""",Orthodox,13,5,0,,3.56,35%,3.80,57%,N/A,1.16,19%,82%,0.2,"Apr 05, 1986"
Fiona,Muxlow,,"5' 4""",145 lbs.,--,,6,3,0,,1.44,27%,5.45,34%,N/A,0.00,0%,0%,0.0,"May 13, 1977"
Ho Bae,Myeon,,"5' 11""",168 lbs.,--,Orthodox,13,5,1,,3.16,16%,3.16,83%,N/A,0.00,0%,0%,0.0,--
Elvis,Mutapcic,The King,"6' 0""",185 lbs.,"72.0""",Orthodox,15,6,1,,3.41,40%,4.27,38%,N/A,0.00,0%,81%,0.0,"Jul 19, 1986"
Max,Mustaki,,"6' 0""",155 lbs.,--,Orthodox,6,3,0,,8.20,50%,13.00,45%,N/A,0.00,0%,0%,0.0,"Nov 07, 1987"
Josias,Musasa,The KO Wizard,"5' 8""",135 lbs.,"74.0""",Southpaw,7,0,0,,3.33,44%,4.53,27%,N/A,1.00,100%,75%,1.0,"Oct 10, 1998"
Magomed,Mustafaev,The Sniper,"5' 8""",155 lbs.,"71.0""",Orthodox,14,4,0,,2.59,58%,2.68,41%,N/A,3.31,50%,23%,0.4,"Aug 02, 1988"
Andre,Mussi,,"6' 3""",242 lbs.,--,Orthodox,11,5,0,,0.00,0%,10.59,35%,N/A,0.00,0%,0%,0.0,--
Khalid,Murtazaliev,,"6' 0""",185 lbs.,"76.0""",Orthodox,14,2,0,,4.80,69%,0.40,78%,N/A,7.50,100%,33%,0.0,"Jul 15, 1993"
Jesse,Murray,Hollywood,"6' 3""",205 lbs.,"78.0""",Orthodox,8,4,0,,2.38,28%,7.72,43%,N/A,0.00,0%,0%,0.0,"Jan 26, 1993"
Lee,Murray,Lightning,"6' 3""",185 lbs.,--,Orthodox,8,2,1,,0.36,15%,3.28,32%,N/A,0.90,100%,42%,1.8,"Sep 12, 1977"
Azamat,Murzakanov,The Professional,"5' 10""",205 lbs.,"71.0""",Southpaw,14,0,0,,4.72,56%,2.90,61%,N/A,0.62,15%,83%,0.0,"Apr 12, 1989"
Patrick,Murphy,,"6' 0""",170 lbs.,--,,5,3,0,,3.40,66%,0.80,42%,N/A,0.00,0%,50%,1.0,--
Lauren,Murphy,Lucky,"5' 5""",125 lbs.,"67.0""",Orthodox,16,6,0,,4.05,39%,5.25,55%,N/A,1.03,25%,69%,0.1,"Jul 27, 1983"
Lerone,Murphy,The Miracle,"5' 9""",145 lbs.,"73.0""",Orthodox,14,0,1,,5.01,54%,2.60,60%,N/A,1.59,52%,46%,0.6,"Jul 22, 1991"
Ian,Murphy,,"6' 1""",185 lbs.,--,Orthodox,1,1,0,,0.00,0%,1.93,30%,N/A,4.13,100%,0%,0.0,"Jun 14, 1985"
Jon,Murphy,Man of Faith,"6' 3""",260 lbs.,--,Orthodox,6,4,0,,3.93,66%,8.85,43%,N/A,0.00,0%,0%,0.0,"Aug 09, 1977"
Samandar,Murodov,,"6' 1""",170 lbs.,"75.0""",Orthodox,11,0,0,,1.50,75%,0.50,44%,N/A,6.01,66%,0%,1.5,"Aug 28, 1999"
Vince,Murdock,,"5' 6""",145 lbs.,"64.0""",Orthodox,12,4,0,,1.21,21%,7.17,40%,N/A,0.00,0%,0%,0.0,"Mar 21, 1991"
Tom,Murphy,,"6' 2""",227 lbs.,--,Southpaw,8,0,0,,2.50,71%,0.17,84%,N/A,7.51,85%,0%,2.5,"Nov 19, 1974"
Kanako,Murata,,"5' 1""",115 lbs.,"62.0""",Orthodox,12,3,0,,2.15,56%,2.40,53%,N/A,3.38,56%,100%,0.8,"Aug 10, 1993"
Ailiya,Muratbek,,--,155 lbs.,--,,9,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Ryuichi,Murata,,"5' 8""",183 lbs.,--,Orthodox,8,3,1,,0.84,36%,1.89,50%,N/A,4.74,50%,100%,3.2,--
Kazunari,Murakami,,"6' 1""",220 lbs.,--,Orthodox,5,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Nov 29, 1973"
Olivier,Murad,Warrior of God,"5' 10""",145 lbs.,"72.0""",Southpaw,6,0,0,,2.60,36%,2.20,61%,N/A,1.00,100%,55%,0.0,"Dec 21, 1993"
Makhmud,Muradov,,"6' 2""",185 lbs.,"75.0""",Orthodox,26,8,0,,4.21,43%,2.57,61%,N/A,3.03,66%,77%,0.2,"Feb 08, 1990"
Andy,Murad,The Tooth Fairy,"5' 9""",185 lbs.,--,,15,2,0,,2.60,76%,2.87,32%,N/A,1.00,20%,42%,0.0,--
Johnny,Munoz,Kid Kvenbo,"5' 9""",135 lbs.,"71.0""",Orthodox,12,4,0,,2.44,36%,2.66,55%,N/A,2.40,25%,45%,1.8,"Feb 16, 1993"
Alexander,Munoz,,"5' 9""",155 lbs.,"72.0""",Switch,7,2,0,,3.70,42%,4.73,55%,N/A,3.00,40%,100%,0.0,"Feb 27, 1990"
Andre,Muniz,Sergipano,"6' 1""",185 lbs.,"78.0""",Southpaw,24,6,0,,1.97,50%,1.99,54%,N/A,4.23,50%,35%,1.2,"Feb 17, 1990"
Mark,Munoz,The Filipino Wrecking Machine,"6' 0""",185 lbs.,"71.0""",Orthodox,14,6,0,,3.12,51%,2.26,57%,N/A,3.17,29%,57%,0.6,"Feb 09, 1978"
Pedro,Munhoz,The Young Punisher,"5' 6""",135 lbs.,"65.0""",Orthodox,20,9,0,,5.32,43%,6.23,56%,N/A,0.51,18%,82%,0.5,"Sep 07, 1986"
Jim,Mullen,,"6' 1""",215 lbs.,--,Southpaw,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
James,Mulheron,,"5' 10""",243 lbs.,"73.0""",Orthodox,11,2,0,,2.40,31%,3.47,42%,N/A,0.00,0%,25%,0.0,"Feb 20, 1988"
Belal,Muhammad,Remember the Name,"5' 11""",170 lbs.,"72.0""",Orthodox,24,3,0,,4.39,43%,3.48,57%,N/A,2.28,39%,89%,0.2,"Jul 09, 1988"
Jamie,Mullarkey,,"6' 0""",155 lbs.,"74.0""",Orthodox,17,8,0,,4.39,46%,4.53,53%,N/A,2.31,34%,78%,0.1,"Aug 17, 1994"
Quinn,Mulhern,,"6' 3""",155 lbs.,--,Orthodox,18,4,0,,1.48,28%,2.09,51%,N/A,1.36,20%,33%,0.0,"Sep 20, 1984"
Lauren,Mueller,Princess Tiger,"5' 5""",125 lbs.,"67.0""",Orthodox,5,3,0,,4.08,41%,3.77,58%,N/A,0.70,50%,71%,0.0,"Nov 15, 1991"
Fazlo,Mulabitinovic,,--,135 lbs.,--,,4,2,0,,0.54,16%,0.00,100%,N/A,0.00,0%,0%,8.0,--
Garrett,Mueller,,"5' 9""",135 lbs.,--,,3,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 29, 1989"
Askar,Mozharov,,"6' 3""",205 lbs.,"74.0""",Orthodox,19,13,0,,0.43,18%,4.07,13%,N/A,0.00,0%,33%,0.0,"Oct 26, 1994"
Jamie,Moyle,,"5' 1""",115 lbs.,"65.0""",Orthodox,4,3,0,,4.51,51%,4.00,65%,N/A,1.00,21%,50%,0.0,"Mar 17, 1989"
Kris,Moutinho,,"5' 7""",135 lbs.,"68.0""",Southpaw,9,6,0,,4.86,32%,15.48,28%,N/A,0.00,0%,0%,0.0,"Aug 09, 1992"
Kin,Moy,Kong,"5' 5""",135 lbs.,--,,8,3,0,,2.30,33%,1.93,62%,N/A,1.67,42%,50%,1.7,--
Flavio Luiz,Moura,,"5' 11""",183 lbs.,--,Open Stance,19,7,0,,0.67,16%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Juan,Mott,,"6' 0""",190 lbs.,--,Switch,3,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Eduarda,Moura,Ronda,"5' 6""",115 lbs.,"66.0""",Orthodox,10,1,0,,3.09,57%,2.10,51%,N/A,5.15,30%,100%,0.6,"Feb 28, 1994"
Miki,Motono,,"5' 2""",115 lbs.,"63.0""",Southpaw,8,5,0,,1.27,27%,4.20,57%,N/A,3.00,30%,0%,1.0,"May 18, 1994"
Nikolas,Motta,Iron,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,0,,3.08,33%,4.78,51%,N/A,0.00,0%,82%,0.0,"Feb 08, 1993"
Gegard,Mousasi,,"6' 2""",185 lbs.,"76.0""",Orthodox,42,6,2,,3.75,50%,1.21,68%,N/A,1.59,60%,59%,1.1,"Aug 01, 1985"
Carlos,Mota,Tizil,"5' 4""",125 lbs.,"69.0""",Orthodox,8,2,0,,0.80,41%,1.13,54%,N/A,0.00,0%,50%,1.0,"Apr 15, 1995"
Jack,Morrison,,"5' 11""",205 lbs.,--,,0,3,0,,0.00,0%,19.31,40%,N/A,0.00,0%,0%,0.0,--
Anthony,Morrison,Cheesesteak,"5' 7""",145 lbs.,--,Orthodox,20,12,0,,1.70,33%,0.49,80%,N/A,0.00,0%,50%,0.0,"Mar 29, 1984"
Scott,Morris,,"5' 10""",210 lbs.,--,Orthodox,2,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Sergey,Morozov,,"5' 6""",135 lbs.,"67.0""",Orthodox,19,5,0,,3.01,43%,2.97,61%,N/A,3.63,31%,68%,0.0,"Jun 14, 1989"
Brad,Morris,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,,0.50,62%,6.95,27%,N/A,0.00,0%,0%,0.0,"Nov 01, 1979"
Peggy,Morgan,The Daywalker,"6' 1""",135 lbs.,--,,4,4,0,,2.27,23%,8.20,33%,N/A,0.00,0%,50%,0.0,"Dec 16, 1979"
Maryna,Moroz,Iron Lady,"5' 7""",125 lbs.,"67.0""",Orthodox,11,6,0,,4.42,33%,4.89,51%,N/A,0.70,24%,42%,0.6,"Sep 08, 1991"
Brandon,Moreno,The Assassin Baby,"5' 7""",125 lbs.,"70.0""",Orthodox,21,8,2,,3.87,44%,3.63,59%,N/A,1.74,46%,63%,0.5,"Dec 07, 1993"
Alexander,Morgan,The Chess Master,"5' 10""",145 lbs.,"71.0""",Orthodox,11,5,0,,3.71,44%,2.78,47%,N/A,0.00,0%,0%,0.0,"May 14, 1991"
Alex,Morono,The Great White,"5' 11""",170 lbs.,"72.0""",Orthodox,24,10,0,,4.96,41%,4.34,57%,N/A,0.36,26%,48%,0.4,"Aug 16, 1990"
Dan,Moret,The Hitman,"6' 0""",155 lbs.,"73.0""",Southpaw,13,6,0,,2.67,43%,3.56,43%,N/A,1.25,27%,45%,0.4,"Nov 21, 1986"
Mike,Moreno,El Palo Duro,"6' 0""",185 lbs.,--,,6,5,0,,1.27,51%,1.07,58%,N/A,0.00,0%,44%,0.0,--
Jesse,Moreng,Arturo,"5' 7""",145 lbs.,--,Orthodox,9,1,0,,1.26,40%,2.08,48%,N/A,5.56,100%,100%,0.0,"Nov 09, 1979"
Gisele,Moreira,,"5' 6""",135 lbs.,--,Orthodox,8,3,0,,5.93,42%,6.33,48%,N/A,4.00,57%,0%,0.0,"Jan 14, 1981"
Vinicius,Moreira,Mamute,"6' 4""",205 lbs.,"76.0""",Orthodox,9,5,0,,3.15,59%,5.07,43%,N/A,1.97,18%,0%,1.3,"Feb 28, 1989"
Richardson,Moreira,Rick Monstro,"6' 2""",185 lbs.,--,Orthodox,7,4,0,,1.17,28%,1.83,67%,N/A,0.00,0%,100%,0.0,"Mar 31, 1984"
Joe,Moreira,,"5' 11""",195 lbs.,--,Southpaw,2,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Sarah,Moras,Cheesecake,"5' 7""",135 lbs.,"67.0""",Orthodox,6,8,0,,2.28,34%,3.58,50%,N/A,0.67,21%,33%,0.8,"Apr 30, 1988"
Michael,Morales,,"6' 0""",170 lbs.,"79.0""",Orthodox,17,0,0,,5.42,48%,3.42,52%,N/A,1.16,41%,92%,0.0,"Jun 24, 1999"
Christian,Morecraft,,"6' 6""",260 lbs.,"81.0""",Orthodox,8,3,0,,2.82,34%,2.46,46%,N/A,3.26,66%,50%,2.2,"Sep 08, 1986"
Vince,Morales,Vandetta,"5' 9""",135 lbs.,"70.0""",Orthodox,11,7,0,,4.17,37%,4.24,53%,N/A,0.14,25%,64%,0.0,"Nov 12, 1990"
Omar,Morales,Venezuelan Fighter,"5' 11""",155 lbs.,"73.0""",Orthodox,11,4,0,,3.42,40%,3.18,58%,N/A,0.46,100%,63%,0.0,"Oct 17, 1985"
Joseph,Morales,,"5' 6""",125 lbs.,"69.0""",Switch,9,2,0,,1.58,37%,1.72,60%,N/A,0.53,50%,23%,2.6,"Aug 22, 1994"
Leonardo,Morales,Chimy,"5' 8""",135 lbs.,--,Southpaw,6,2,0,,2.05,47%,2.05,58%,N/A,0.00,0%,62%,0.0,"Dec 22, 1992"
Ricardo,Morais,The Mutant,"6' 8""",270 lbs.,--,Orthodox,10,4,1,,2.86,37%,2.39,53%,N/A,0.00,0%,0%,0.0,"Feb 26, 1967"
Albert,Morales,The Warrior,"5' 9""",135 lbs.,"72.0""",Orthodox,7,4,1,,3.81,35%,3.96,56%,N/A,0.91,35%,70%,0.2,"May 25, 1991"
Sheymon,Moraes,,"5' 8""",145 lbs.,"72.0""",Orthodox,11,4,0,,3.00,42%,3.64,63%,N/A,0.00,0%,53%,0.0,"Oct 11, 1990"
Marlon,Moraes,Magic,"5' 6""",135 lbs.,"67.0""",Orthodox,23,10,1,,3.37,40%,4.53,54%,N/A,0.87,41%,46%,0.3,"Apr 26, 1988"
Taylor,Moore,,"5' 10""",135 lbs.,"70.0""",Southpaw,10,5,0,,0.20,75%,2.07,42%,N/A,0.00,0%,25%,0.0,"Oct 16, 1993"
Sergio,Moraes,The Panther,"6' 0""",170 lbs.,"72.0""",Orthodox,14,6,1,,2.42,42%,3.73,59%,N/A,1.20,38%,75%,0.4,"Jul 23, 1982"
Todd,Moore,,"5' 9""",170 lbs.,"71.0""",Southpaw,16,7,0,,1.83,26%,2.30,57%,N/A,0.78,14%,54%,0.0,"Dec 30, 1983"
Homer,Moore,The Rock,"5' 10""",205 lbs.,--,Orthodox,26,9,2,,0.68,50%,0.68,0%,N/A,5.07,66%,0%,0.0,"Nov 27, 1971"
Dustin,Moore,,"5' 4""",125 lbs.,--,,0,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Nate,Moore,,"6' 0""",170 lbs.,--,,8,4,0,,2.21,25%,2.87,42%,N/A,1.23,16%,25%,0.0,--
James,Moontasri,Moon Walker,"5' 10""",170 lbs.,"71.0""",Switch,9,5,0,,2.39,48%,3.86,40%,N/A,0.00,0%,79%,0.2,"Apr 10, 1988"
