First,Last,Nickname,Ht,Wt,Reach,Stance,W,L,D,Belt,SLpM,Str. Acc.,SApM,Str. Def,,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,DOB
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,3.79,31%,3.98,68%,N/A,2.13,42%,100%,0.7,"Apr 27, 1984"
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,3.52,36%,2.85,62%,N/A,0.33,20%,81%,0.0,"Dec 27, 1977"
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,,0.76,45%,1.97,27%,N/A,2.28,11%,0%,0.0,"Jun 25, 1981"
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,,3.92,53%,2.08,58%,N/A,1.97,34%,67%,1.3,"Mar 02, 1992"
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,2,0,,5.73,51%,4.96,48%,N/A,0.00,0%,100%,0.0,"Feb 20, 1990"
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,,2.16,39%,2.76,57%,N/A,1.07,50%,45%,0.3,"Jun 10, 1976"
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,4,1,,4.38,43%,4.32,51%,N/A,1.00,37%,42%,0.0,"Mar 10, 1986"
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,,3.53,37%,3.59,58%,N/A,0.00,0%,50%,0.3,"May 31, 1992"
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,,2.13,26%,1.87,60%,N/A,0.50,16%,100%,0.5,"Jun 07, 1983"
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,3,0,,2.59,43%,2.86,50%,N/A,0.54,33%,50%,0.3,"May 11, 1988"
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,,0.83,25%,5.00,33%,N/A,0.00,0%,0%,0.0,"Aug 20, 1988"
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,,2.37,30%,4.17,48%,N/A,0.00,0%,46%,0.0,"Jan 16, 1993"
Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 17, 1982"
Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Dec 29, 1988"
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,,2.34,47%,3.36,43%,N/A,2.37,80%,50%,1.8,"Jun 30, 1983"
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,,3.33,25%,10.00,57%,N/A,0.00,0%,0%,0.0,--
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Mar 28, 1992"
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,,1.42,33%,2.27,59%,N/A,1.69,27%,27%,1.3,"Aug 18, 1973"
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,,1.17,12%,4.31,41%,N/A,0.80,50%,0%,0.0,"Apr 16, 1986"
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,,2.48,51%,2.97,55%,N/A,2.36,33%,70%,0.5,"Feb 23, 1989"
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,,2.28,47%,2.13,59%,N/A,0.74,37%,75%,0.0,"Jun 16, 1977"
Michael,Aswell Jr.,Texas Kid,--,145 lbs.,--,,9,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Sep 27, 2000"
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,,0.87,41%,3.14,49%,N/A,1.00,33%,0%,0.0,--
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,,3.31,62%,2.06,44%,N/A,2.43,24%,66%,0.7,"Jun 24, 1981"
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,,1.27,43%,3.20,36%,N/A,2.00,50%,66%,1.0,"May 23, 1992"
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,,3.22,42%,2.50,66%,N/A,1.65,39%,78%,0.2,"Jul 19, 1982"
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,14,3,0,,7.72,66%,2.77,66%,N/A,3.46,100%,100%,1.7,"Apr 11, 1993"
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,"77.0""",Orthodox,13,1,0,,6.83,45%,4.53,64%,N/A,0.00,0%,100%,0.0,"Apr 23, 1996"
Khusein,Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0,,2.00,26%,4.13,56%,N/A,0.00,0%,66%,0.0,"Feb 13, 1995"
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,,3.05,54%,2.80,57%,N/A,2.60,24%,66%,0.4,"Oct 09, 1992"
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,,3.03,46%,3.52,52%,N/A,0.44,18%,65%,0.7,"May 20, 1988"
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,,3.64,49%,5.66,36%,N/A,4.33,55%,0%,0.9,"Jul 18, 1984"
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,,3.35,39%,5.82,35%,N/A,4.41,62%,100%,0.9,"Dec 24, 1985"
,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 31, 1992"
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,1,0,,3.08,42%,5.35,59%,N/A,0.92,50%,50%,0.0,"Mar 31, 1995"
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 14, 1992"
Kai,Asakura,,--,135 lbs.,--,,21,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Oct 31, 1993"
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,,7.27,61%,6.80,28%,N/A,0.00,0%,100%,0.0,"Dec 27, 1989"
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Aug 19, 1994"
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,,5.37,45%,5.20,56%,N/A,7.32,75%,0%,2.4,"Jan 31, 1991"
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,,0.06,10%,2.45,32%,N/A,0.00,0%,0%,0.0,--
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,,3.20,36%,1.92,65%,N/A,0.00,0%,40%,0.0,--
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,2.82,66%,2.02,50%,N/A,1.14,41%,41%,0.2,"Jul 01, 1989"
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,,1.62,47%,2.01,58%,N/A,2.12,36%,100%,5.3,"Sep 01, 1982"
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,,1.56,34%,1.63,56%,N/A,3.05,75%,37%,1.0,"May 28, 1975"
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,,2.32,45%,4.01,56%,N/A,1.07,100%,33%,0.4,"Jan 14, 1983"
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0,,8.92,68%,6.49,38%,N/A,12.16,100%,0%,0.0,"Jun 06, 1996"
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,,4.52,41%,6.38,62%,N/A,0.44,18%,57%,0.2,"Oct 22, 1991"
Joey,Armstrong,,--,--,--,,5,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,,1.66,48%,1.15,57%,N/A,2.41,48%,58%,1.2,"Jul 17, 1978"
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,4,0,,5.59,55%,3.30,57%,N/A,0.00,0%,60%,0.4,"Oct 09, 1996"
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,2,0,,2.18,45%,1.90,51%,N/A,4.45,48%,57%,1.6,"Aug 13, 1993"
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,,1.84,44%,8.97,43%,N/A,0.00,0%,50%,0.0,"Sep 11, 1989"
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0,,4.36,36%,3.05,68%,N/A,0.46,28%,96%,0.3,"Oct 27, 1989"
Alice,Ardelean,,--,115 lbs.,--,,9,5,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Apr 19, 1992"
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 29, 1993"
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0,,3.82,45%,3.22,57%,N/A,0.37,35%,76%,0.2,"Feb 04, 1979"
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,12,6,0,,4.11,47%,4.96,56%,N/A,1.76,40%,78%,0.6,"Nov 21, 1986"
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,,1.52,42%,2.86,49%,N/A,0.86,15%,22%,0.6,"Dec 06, 1980"
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,,2.37,45%,2.66,64%,N/A,0.93,47%,41%,0.7,"Feb 09, 1988"
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,,1.53,46%,2.73,51%,N/A,0.00,0%,50%,1.0,"Oct 15, 1981"
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,,1.80,35%,2.83,50%,N/A,2.50,62%,83%,0.0,"Dec 02, 1977"
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,,1.35,40%,11.50,32%,N/A,0.00,0%,33%,0.0,"Jun 19, 1983"
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,,0.00,0%,0.54,81%,N/A,0.00,0%,0%,8.1,"Aug 26, 1977"
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,,8.79,27%,10.29,39%,N/A,0.00,0%,0%,0.0,"Oct 05, 1979"
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,10,0,,5.31,50%,6.03,47%,N/A,1.45,46%,58%,0.0,"Jun 25, 1993"
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,,3.23,58%,3.75,45%,N/A,1.83,16%,75%,0.0,"Dec 01, 1985"
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,,1.09,50%,7.64,50%,N/A,0.00,0%,0%,0.0,--
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,,0.97,58%,1.25,58%,N/A,2.54,41%,60%,4.0,"May 09, 1983"
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,,2.47,42%,2.47,69%,N/A,0.65,100%,0%,0.0,"Aug 05, 1981"
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,,2.08,55%,4.21,40%,N/A,5.08,36%,0%,1.4,"Feb 09, 1987"
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,,5.73,52%,5.00,69%,N/A,0.00,0%,100%,0.0,"Feb 28, 1982"
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,,0.00,0%,3.13,25%,N/A,0.00,0%,0%,0.0,"Mar 28, 1967"
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,19,1,1,,3.64,53%,2.25,59%,N/A,1.02,31%,86%,0.0,"Jun 02, 1992"
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,7,0,,3.60,45%,3.11,53%,N/A,0.82,30%,42%,0.6,"Dec 01, 1986"
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,,4.59,48%,5.54,51%,N/A,2.28,66%,100%,0.0,"Feb 20, 1993"
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,,4.62,78%,1.86,50%,N/A,4.47,50%,60%,1.1,"Jul 23, 1991"
Fellipe,Andrew,,--,--,--,,0,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Oct 24, 1994"
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,,2.87,50%,3.50,58%,N/A,0.67,20%,40%,0.0,"Mar 31, 1973"
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,,3.56,38%,3.77,53%,N/A,0.00,0%,33%,0.0,"Jan 13, 1989"
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,,3.27,31%,3.00,65%,N/A,0.00,0%,0%,0.0,"Aug 20, 1995"
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,,2.21,50%,2.72,46%,N/A,2.83,50%,57%,0.4,"Nov 15, 1979"
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,,3.26,42%,2.77,63%,N/A,1.93,50%,66%,0.3,"Mar 08, 1984"
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Liam,Anderson,,--,185 lbs.,--,,6,2,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jan 13, 1995"
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,,0.93,19%,4.93,50%,N/A,0.00,0%,0%,0.0,"Apr 26, 1990"
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,,3.97,37%,3.08,61%,N/A,0.34,14%,60%,0.0,"Feb 02, 1990"
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,,0.20,36%,2.60,53%,N/A,0.00,0%,25%,0.8,"May 14, 1974"
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,12,0,,6.62,50%,5.37,55%,N/A,2.37,55%,72%,0.3,"Sep 25, 1991"
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,,1.76,46%,3.35,37%,N/A,0.52,25%,53%,0.5,"Feb 11, 1990"
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,4.43,46%,2.22,59%,N/A,4.89,50%,83%,0.0,"Sep 22, 1989"
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jul 16, 1974"
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"May 29, 1971"
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,,1.47,34%,2.67,54%,N/A,0.00,0%,25%,1.0,"Nov 21, 1985"
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,,6.75,39%,2.01,83%,N/A,0.00,0%,0%,0.0,--
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,,0.99,30%,3.85,46%,N/A,0.00,0%,0%,0.0,"Apr 06, 1988"
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,,1.33,44%,2.98,46%,N/A,3.96,43%,35%,1.1,"Nov 08, 1988"
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,8,1,0,,3.33,52%,1.85,62%,N/A,1.48,23%,0%,5.4,"Jun 24, 1995"
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,"Jun 15, 2003"
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,16,8,0,,3.41,47%,4.17,50%,N/A,1.79,26%,79%,0.1,"Apr 21, 1987"
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,9,0,0,,4.73,54%,2.16,61%,N/A,0.68,33%,78%,2.0,"May 28, 1990"
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,,3.16,69%,6.32,33%,N/A,0.00,0%,50%,0.0,--
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,,0.83,29%,3.76,40%,N/A,3.13,57%,100%,0.8,"Jan 26, 1970"
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,,5.53,35%,24.47,33%,N/A,0.00,0%,100%,0.0,"Jul 11, 1987"
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,,3.28,44%,3.63,52%,N/A,0.06,14%,82%,0.1,"May 06, 1986"
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,,3.04,48%,3.95,50%,N/A,1.22,50%,62%,0.8,"Jan 04, 1991"
Chris,Amarante,,--,185 lbs.,--,,2,0,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,,0.50,46%,2.02,30%,N/A,0.00,0%,53%,0.0,"Aug 08, 1988"
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,,3.29,47%,0.82,78%,N/A,5.84,56%,100%,0.0,"Oct 30, 1986"
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,,1.85,48%,3.30,58%,N/A,0.29,25%,44%,1.5,"Nov 14, 1990"
Anthony,Alves,,--,--,--,,1,4,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,20,3,0,,3.65,46%,3.37,50%,N/A,0.00,0%,11%,1.3,"Mar 02, 1993"
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,,2.73,40%,4.53,56%,N/A,1.00,33%,50%,0.0,"Mar 08, 1988"
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,,1.56,20%,2.08,75%,N/A,0.00,0%,0%,0.0,--
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,,5.83,31%,9.25,44%,N/A,0.00,0%,0%,0.0,"May 08, 1996"
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,,4.32,41%,4.39,55%,N/A,2.92,36%,92%,0.5,"Jan 11, 1984"
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,4,0,,4.55,57%,3.70,54%,N/A,3.43,39%,63%,0.0,"Jan 23, 1991"
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,,0.00,0%,0.00,0%,N/A,0.00,0%,0%,0.0,--
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,,0.89,37%,3.25,47%,N/A,0.00,0%,0%,0.0,"Jul 14, 1971"
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,,2.43,42%,1.97,56%,N/A,3.50,29%,60%,1.0,"Sep 23, 1990"
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,,2.27,24%,5.91,63%,N/A,0.00,0%,20%,0.0,--
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,,2.36,44%,6.06,38%,N/A,1.61,26%,20%,0.4,"Jun 01, 1991"
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,,5.74,34%,1.91,67%,N/A,0.00,0%,0%,0.0,"Feb 27, 1980"
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,3,0,,4.94,43%,4.92,46%,N/A,0.00,0%,50%,0.0,"Jan 31, 1991"
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,5,1,0,,4.25,61%,1.88,46%,N/A,0.00,0%,56%,0.0,"Mar 28, 1988"
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,,1.07,39%,3.33,43%,N/A,0.50,33%,37%,0.0,"Mar 05, 1989"
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,,3.73,41%,3.42,62%,N/A,0.71,60%,63%,0.3,"Oct 03, 1983"
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,1.67,36%,2.60,41%,N/A,0.00,0%,40%,5.0,"Jun 06, 1985"
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,,3.13,37%,6.07,42%,N/A,0.00,0%,0%,0.0,"Oct 17, 1988"
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,21,3,0,,2.46,64%,0.72,40%,N/A,6.85,59%,75%,2.6,"Jun 26, 1991"
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,2.02,49%,1.20,61%,N/A,3.74,38%,31%,1.2,"Nov 29, 1976"
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,4.84,43%,4.93,61%,N/A,0.17,14%,75%,0.0,"Jul 31, 1991"
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,,1.92,41%,5.75,27%,N/A,0.00,0%,0%,0.0,"Mar 22, 2004"
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0,,0.20,18%,4.53,30%,N/A,0.00,0%,0%,0.0,"Oct 08, 1997"
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,20,2,0,,2.36,61%,1.00,58%,N/A,6.68,56%,0%,2.4,"Jan 25, 1994"
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,1.28,49%,1.90,59%,N/A,0.62,50%,26%,0.0,"Feb 19, 1981"
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,,7.60,51%,5.87,53%,N/A,2.00,66%,100%,0.0,"Aug 10, 1992"
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,0.80,38%,3.10,43%,N/A,0.00,0%,50%,0.0,"Jan 13, 1967"
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,5,0,,3.98,53%,3.83,47%,N/A,1.74,47%,58%,1.4,"Dec 28, 1995"
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,3,0,,3.39,40%,2.91,61%,N/A,1.02,50%,75%,0.4,"Jan 22, 1994"
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,,3.56,42%,5.74,52%,N/A,1.40,71%,50%,0.8,"Feb 22, 1993"
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,,6.32,50%,10.11,38%,N/A,0.00,0%,0%,0.0,"Jul 14, 1989"
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,15,2,0,,7.03,60%,7.27,36%,N/A,1.82,33%,0%,1.8,"Dec 07, 1992"
