Name,Ht,Wt,Reach,Stance,Career W,Career L,DOB,born_year
Lauren Murphy,"5' 5""",125 lbs.,"67.0""",Orthodox,16,6,"Jul 27, 1983",1983
Vince Murdock,"5' 6""",145 lbs.,"64.0""",Orthodox,12,4,"Mar 21, 1991",1991
Jon Murphy,"6' 3""",260 lbs.,--,Orthodox,6,4,"Aug 09, 1977",1977
Ailiya Muratbek,--,155 lbs.,--,,9,2,--,--
Tom Murphy,"6' 2""",227 lbs.,--,Southpaw,8,0,"Nov 19, 1974",1974
Kanako Murata,"5' 1""",115 lbs.,"62.0""",Orthodox,12,3,"Aug 10, 1993",1993
Ryuichi Murata,"5' 8""",183 lbs.,--,Orthodox,8,3,--,--
Andy Murad,"5' 9""",185 lbs.,--,,15,2,--,--
Kazunari Murakami,"6' 1""",220 lbs.,--,Orthodox,5,5,"Nov 29, 1973",1973
Olivier Murad,"5' 10""",145 lbs.,"72.0""",Southpaw,6,0,"Dec 21, 1993",1993
Makhmud Muradov,"6' 2""",185 lbs.,"75.0""",Orthodox,26,8,"Feb 08, 1990",1990
Alexander Munoz,"5' 9""",155 lbs.,"72.0""",Switch,7,2,"Feb 27, 1990",1990
Johnny Munoz,"5' 9""",135 lbs.,"71.0""",Orthodox,12,4,"Feb 16, 1993",1993
Pedro Munhoz,"5' 6""",135 lbs.,"65.0""",Orthodox,20,9,"Sep 07, 1986",1986
Andre Muniz,"6' 1""",185 lbs.,"78.0""",Southpaw,24,6,"Feb 17, 1990",1990
Mark Munoz,"6' 0""",185 lbs.,"71.0""",Orthodox,14,6,"Feb 09, 1978",1978
Jim Mullen,"6' 1""",215 lbs.,--,Southpaw,0,2,--,--
Melissa Mullins,"5' 7""",135 lbs.,"68.0""",Orthodox,6,1,"Jul 23, 1991",1991
Jamie Mullarkey,"6' 0""",155 lbs.,"74.0""",Orthodox,17,8,"Aug 17, 1994",1994
Quinn Mulhern,"6' 3""",155 lbs.,--,Orthodox,18,4,"Sep 20, 1984",1984
Fazlo Mulabitinovic,--,135 lbs.,--,,4,2,--,--
James Mulheron,"5' 10""",243 lbs.,"73.0""",Orthodox,11,2,"Feb 20, 1988",1988
Belal Muhammad,"5' 11""",170 lbs.,"72.0""",Orthodox,24,3,"Jul 09, 1988",1988
Lauren Mueller,"5' 5""",125 lbs.,"67.0""",Orthodox,5,3,"Nov 15, 1991",1991
Jamie Moyle,"5' 1""",115 lbs.,"65.0""",Orthodox,4,3,"Mar 17, 1989",1989
Kin Moy,"5' 5""",135 lbs.,--,,8,3,--,--
Eduarda Moura,"5' 6""",115 lbs.,"66.0""",Orthodox,10,1,"Feb 28, 1994",1994
Garrett Mueller,"5' 9""",135 lbs.,--,,3,3,"Jan 29, 1989",1989
Flavio Luiz Moura,"5' 11""",183 lbs.,--,Open Stance,19,7,--,--
Askar Mozharov,"6' 3""",205 lbs.,"74.0""",Orthodox,19,13,"Oct 26, 1994",1994
Gegard Mousasi,"6' 2""",185 lbs.,"76.0""",Orthodox,42,6,"Aug 01, 1985",1985
Nikolas Motta,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,"Feb 08, 1993",1993
Kris Moutinho,"5' 7""",135 lbs.,"68.0""",Southpaw,9,6,"Aug 09, 1992",1992
Juan Mott,"6' 0""",190 lbs.,--,Switch,3,4,--,--
Miki Motono,"5' 2""",115 lbs.,"63.0""",Southpaw,8,5,"May 18, 1994",1994
Harry Moskowitz,"6' 5""",275 lbs.,--,Orthodox,6,12,--,--
Carlos Mota,"5' 4""",125 lbs.,"69.0""",Orthodox,8,2,"Apr 15, 1995",1995
Jack Morrison,"5' 11""",205 lbs.,--,,0,3,--,--
Anthony Morrison,"5' 7""",145 lbs.,--,Orthodox,20,12,"Mar 29, 1984",1984
Scott Morris,"5' 10""",210 lbs.,--,Orthodox,2,1,--,--
Maryna Moroz,"5' 7""",125 lbs.,"67.0""",Orthodox,11,6,"Sep 08, 1991",1991
Brad Morris,"6' 2""",205 lbs.,--,Orthodox,10,6,"Nov 01, 1979",1979
Alexander Morgan,"5' 10""",145 lbs.,"71.0""",Orthodox,11,5,"May 14, 1991",1991
Sergey Morozov,"5' 6""",135 lbs.,"67.0""",Orthodox,19,5,"Jun 14, 1989",1989
Sammy Morgan,"5' 10""",170 lbs.,--,Orthodox,18,12,"Sep 28, 1981",1981
Alex Morono,"5' 11""",170 lbs.,"72.0""",Orthodox,24,10,"Aug 16, 1990",1990
Peggy Morgan,"6' 1""",135 lbs.,--,,4,4,"Dec 16, 1979",1979
Dan Moret,"6' 0""",155 lbs.,"73.0""",Southpaw,13,6,"Nov 21, 1986",1986
Mike Moreno,"6' 0""",185 lbs.,--,,6,5,--,--
Brandon Moreno,"5' 7""",125 lbs.,"70.0""",Orthodox,21,8,"Dec 07, 1993",1993
Gisele Moreira,"5' 6""",135 lbs.,--,Orthodox,8,3,"Jan 14, 1981",1981
Jesse Moreng,"5' 7""",145 lbs.,--,Orthodox,9,1,"Nov 09, 1979",1979
Vinicius Moreira,"6' 4""",205 lbs.,"76.0""",Orthodox,9,5,"Feb 28, 1989",1989
Joe Moreira,"5' 11""",195 lbs.,--,Southpaw,2,2,--,--
Richardson Moreira,"6' 2""",185 lbs.,--,Orthodox,7,4,"Mar 31, 1984",1984
Christian Morecraft,"6' 6""",260 lbs.,"81.0""",Orthodox,8,3,"Sep 08, 1986",1986
Michael Morales,"6' 0""",170 lbs.,"79.0""",Orthodox,17,0,"Jun 24, 1999",1999
Sarah Moras,"5' 7""",135 lbs.,"67.0""",Orthodox,6,8,"Apr 30, 1988",1988
Omar Morales,"5' 11""",155 lbs.,"73.0""",Orthodox,11,4,"Oct 17, 1985",1985
Vince Morales,"5' 9""",135 lbs.,"70.0""",Orthodox,11,7,"Nov 12, 1990",1990
Leonardo Morales,"5' 8""",135 lbs.,--,Southpaw,6,2,"Dec 22, 1992",1992
Albert Morales,"5' 9""",135 lbs.,"72.0""",Orthodox,7,4,"May 25, 1991",1991
Joseph Morales,"5' 6""",125 lbs.,"69.0""",Switch,9,2,"Aug 22, 1994",1994
Sheymon Moraes,"5' 8""",145 lbs.,"72.0""",Orthodox,11,4,"Oct 11, 1990",1990
Ricardo Morais,"6' 8""",270 lbs.,--,Orthodox,10,4,"Feb 26, 1967",1967
Sergio Moraes,"6' 0""",170 lbs.,"72.0""",Orthodox,14,6,"Jul 23, 1982",1982
John Moraga,"5' 6""",125 lbs.,"66.0""",Orthodox,19,7,"Mar 20, 1984",1984
Taylor Moore,"5' 10""",135 lbs.,"70.0""",Southpaw,10,5,"Oct 16, 1993",1993
Dustin Moore,"5' 4""",125 lbs.,--,,0,2,--,--
Marlon Moraes,"5' 6""",135 lbs.,"67.0""",Orthodox,23,10,"Apr 26, 1988",1988
Nate Moore,"6' 0""",170 lbs.,--,,8,4,--,--
Todd Moore,"5' 9""",170 lbs.,"71.0""",Southpaw,16,7,"Dec 30, 1983",1983
Homer Moore,"5' 10""",205 lbs.,--,Orthodox,26,9,"Nov 27, 1971",1971
James Moontasri,"5' 10""",170 lbs.,"71.0""",Switch,9,5,"Apr 10, 1988",1988
Erick Montano,"6' 0""",170 lbs.,"73.0""",Orthodox,7,5,"Nov 19, 1985",1985
Alberto Montes,"5' 7""",135 lbs.,--,,4,0,"May 31, 1994",1994
Nicco Montano,"5' 5""",135 lbs.,"65.0""",Southpaw,5,3,"Dec 16, 1988",1988
Andrew Montanez,--,185 lbs.,--,,9,12,--,--
Augusto Montano,"6' 1""",170 lbs.,"73.0""",Orthodox,15,3,"Oct 25, 1984",1984
Darrell Montague,"5' 6""",125 lbs.,"67.0""",Southpaw,13,5,"Nov 03, 1987",1987
Jeff Monson,"5' 9""",247 lbs.,"74.0""",Orthodox,60,26,"Jan 18, 1971",1971
Rudyard Moncayo,"5' 10""",195 lbs.,--,Orthodox,0,3,--,--
Hidetaka Monma,"6' 0""",168 lbs.,--,Orthodox,18,11,"Oct 23, 1973",1973
Suman Mokhtarian,"5' 8""",145 lbs.,"72.0""",Orthodox,8,5,"Jun 13, 1992",1992
Thiago Moises,"5' 9""",155 lbs.,"70.0""",Orthodox,18,8,"Mar 23, 1995",1995
Dan Molina,"5' 10""",216 lbs.,--,,13,9,"Jun 14, 1984",1984
Ashkan Mokhtarian,"5' 6""",125 lbs.,"67.0""",Southpaw,13,3,"Sep 15, 1985",1985
Muhammad Mokaev,"5' 7""",125 lbs.,"70.0""",Orthodox,13,0,"Jul 30, 2000",2000
Renato Moicano,"5' 11""",155 lbs.,"72.0""",Orthodox,19,5,"May 21, 1989",1989
Nate Mohr,"5' 9""",155 lbs.,"72.0""",Orthodox,9,7,"Mar 03, 1983",1983
Bronson Mohika,--,135 lbs.,--,,1,1,--,--
Pat Pytlik,"6' 0""",170 lbs.,"73.0""",Orthodox,9,2,"Apr 24, 1989",1989
Bobby Moffett,"5' 10""",145 lbs.,"73.0""",Orthodox,13,5,"Jun 01, 1990",1990
Andrey Pulyaev,"6' 4""",185 lbs.,"78.0""",Southpaw,9,2,"Sep 10, 1997",1997
Joe Pyfer,"6' 2""",185 lbs.,"75.0""",Orthodox,13,3,"Sep 17, 1996",1996
CM Punk,"6' 1""",170 lbs.,"73.0""",Orthodox,0,1,"Oct 26, 1978",1978
Mike Pyle,"6' 0""",170 lbs.,"74.0""",Orthodox,27,14,"Sep 18, 1975",1975
Josh Pulsifer,"5' 10""",145 lbs.,--,,17,8,"Mar 16, 1983",1983
Tatsuya Mizuno,"6' 1""",205 lbs.,--,Southpaw,16,12,"Jun 02, 1981",1981
Jens Pulver,"5' 7""",145 lbs.,"70.0""",Southpaw,27,19,"Dec 06, 1974",1974
Roxanne Modafferi,"5' 7""",125 lbs.,"69.0""",Orthodox,25,21,"Sep 24, 1982",1982
Motoki Miyazawa,"5' 11""",168 lbs.,--,Southpaw,7,3,--,--
Takeya Mizugaki,"5' 7""",135 lbs.,"69.0""",Orthodox,21,11,"Dec 16, 1983",1983
Mizuki,"5' 3""",115 lbs.,"65.0""",Orthodox,15,6,"Aug 19, 1994",1994
Kazuyuki Miyata,"5' 8""",139 lbs.,--,Orthodox,15,9,--,--
Tomoya Miyashita,"5' 7""",139 lbs.,--,Southpaw,17,9,--,--
Jonathan Mix,"6' 0""",168 lbs.,--,,7,4,"Nov 09, 1980",1980
Hiromitsu Miura,"5' 9""",170 lbs.,"71.0""",Orthodox,12,7,"Sep 22, 1981",1981
Hugh Pulley,"6' 0""",155 lbs.,--,,6,3,--,--
Bubba Pugh,"5' 10""",185 lbs.,--,,3,3,--,--
Juan Manuel Puig,"5' 9""",145 lbs.,--,Orthodox,11,4,"Apr 23, 1989",1989
Eiji Mitsuoka,"5' 7""",145 lbs.,--,Southpaw,18,9,"Jan 01, 1976",1976
Claudio Puelles,"5' 10""",155 lbs.,"72.0""",Southpaw,13,4,"Apr 21, 1996",1996
Juan Puerta,"5' 9""",125 lbs.,"71.0""",Southpaw,23,6,"Jan 20, 1988",1988
Daniel Puder,"6' 3""",235 lbs.,--,Orthodox,8,0,"Oct 09, 1981",1981
Lucie Pudilova,"5' 8""",125 lbs.,"67.0""",Orthodox,14,10,"Jun 13, 1994",1994
Roman Mitichyan,"5' 10""",170 lbs.,--,Orthodox,8,3,"Sep 04, 1978",1978
Joe Proctor,"5' 10""",155 lbs.,"72.0""",Orthodox,11,5,"Aug 10, 1985",1985
Matt Mitrione,"6' 3""",265 lbs.,"82.0""",Switch,12,5,"Jul 15, 1978",1978
Terrence Mitchell,"5' 10""",135 lbs.,"74.0""",Orthodox,14,4,"Dec 30, 1989",1989
Lara Procopio,"5' 4""",125 lbs.,"67.0""",Orthodox,7,2,"Nov 14, 1995",1995
Cole Province,"5' 9""",145 lbs.,"68.0""",Orthodox,6,2,"Jan 17, 1981",1981
Maurice Mitchell,"5' 9""",145 lbs.,--,Orthodox,11,2,"Jun 29, 1987",1987
Clay Mitchell,"6' 2""",185 lbs.,--,,1,2,--,--
Bryce Mitchell,"5' 10""",145 lbs.,"70.0""",Southpaw,16,3,"Oct 04, 1994",1994
Brad Mitchell,"5' 11""",145 lbs.,--,,4,2,"Oct 10, 1974",1974
Danny Mitchell,"6' 2""",170 lbs.,--,Orthodox,19,9,"Aug 08, 1986",1986
David Mitchell,"6' 0""",170 lbs.,"75.0""",Orthodox,22,7,"Oct 24, 1979",1979
Felix Lee Mitchell,"5' 11""",--,--,Orthodox,2,7,--,--
Jiri Prochazka,"6' 3""",205 lbs.,"80.0""",Orthodox,30,5,"Oct 14, 1992",1992
Shane Primm,"6' 3""",205 lbs.,--,Orthodox,5,5,"Jul 30, 1984",1984
Chris Price,"6' 2""",185 lbs.,--,Southpaw,19,4,"Nov 09, 1982",1982
Brent Primus,"5' 10""",155 lbs.,--,,8,0,"Apr 12, 1985",1985
Dorian Price,"6' 3""",170 lbs.,--,Southpaw,8,5,"Aug 20, 1977",1977
Philip Preece,"5' 8""",205 lbs.,--,Orthodox,10,14,--,--
Niko Price,"6' 0""",170 lbs.,"76.0""",Orthodox,16,7,"Sep 29, 1989",1989
Michel Prazeres,"5' 6""",170 lbs.,"67.0""",Orthodox,26,4,"Jul 25, 1981",1981
Kyle Prepolec,"5' 10""",170 lbs.,"70.0""",Southpaw,12,7,"Aug 30, 1989",1989
Dokonjonosuke Mishima,"5' 7""",155 lbs.,--,Southpaw,21,7,"Apr 19, 1972",1972
Carlos Prates,"6' 1""",170 lbs.,"78.0""",Switch,20,6,"Aug 17, 1993",1993
Toby Misech,"5' 8""",145 lbs.,--,Southpaw,9,5,"Mar 07, 1988",1988
Gabriel Miranda,"5' 11""",145 lbs.,"71.0""",Orthodox,17,6,"Mar 25, 1990",1990
Vitor Miranda,"6' 1""",185 lbs.,"77.0""",Orthodox,12,5,"Mar 10, 1979",1979
Kazuo Misaki,"5' 8""",183 lbs.,--,Orthodox,25,11,"Apr 25, 1976",1976
Mario Miranda,"6' 3""",185 lbs.,"74.0""",Orthodox,14,7,"Jul 12, 1979",1979
Damir Mirenic,"6' 0""",185 lbs.,--,Orthodox,9,4,"Aug 02, 1974",1974
Frank Mir,"6' 3""",264 lbs.,"79.0""",Southpaw,18,11,"May 24, 1979",1979
Carlo Prater,"5' 11""",155 lbs.,"72.0""",Switch,31,18,"Jun 25, 1981",1981
Juan Miranda,--,155 lbs.,--,,7,5,--,--
Ricardo Prasel,"6' 7""",238 lbs.,"78.0""",Orthodox,10,2,"Jun 02, 1990",1990
Francisco Prado,"5' 10""",155 lbs.,"69.0""",Orthodox,12,2,"Jun 16, 2002",2002
Trevor Prangley,"6' 1""",185 lbs.,"75.0""",Orthodox,34,11,"Aug 24, 1972",1972
Stipe Miocic,"6' 4""",240 lbs.,"80.0""",Orthodox,20,4,"Aug 19, 1982",1982
Wagner Prado,"6' 0""",205 lbs.,"74.0""",Southpaw,12,3,"Dec 30, 1986",1986
Marcin Prachnio,"6' 3""",205 lbs.,"74.0""",Orthodox,17,8,"Jul 14, 1988",1988
Devin Powell,"6' 0""",155 lbs.,"73.0""",Orthodox,9,4,"Mar 01, 1988",1988
Ruan Potts,"6' 2""",247 lbs.,"75.0""",Orthodox,11,6,"Feb 23, 1978",1978
Dylan Potter,"6' 2""",225 lbs.,"77.0""",Switch,10,6,"Jan 14, 1995",1995
Callan Potter,"6' 0""",170 lbs.,"72.0""",Orthodox,18,9,"Jun 09, 1984",1984
Carlton Minus,"5' 10""",170 lbs.,"75.0""",Orthodox,10,3,"Apr 26, 1993",1993
Mike Minniger,--,--,--,,0,0,--,--
Ikuhisa Minowa,"5' 9""",181 lbs.,--,Orthodox,60,42,"Jan 12, 1976",1976
Darrick Minner,"5' 7""",145 lbs.,"69.0""",Orthodox,26,14,"Apr 28, 1990",1990
Vitaly Minakov,"6' 2""",249 lbs.,--,,20,0,"Feb 06, 1985",1985
Alberto Mina,"6' 0""",170 lbs.,"77.0""",Orthodox,13,1,"May 02, 1982",1982
Che Mills,"6' 1""",170 lbs.,"76.0""",Orthodox,16,10,"Sep 29, 1982",1982
Eddy Millis,"6' 1""",185 lbs.,--,,0,2,--,--
Juliana Miller,"5' 7""",125 lbs.,"66.0""",Orthodox,4,3,"May 07, 1996",1996
Ihor Potieria,"6' 3""",185 lbs.,"75.0""",Southpaw,20,6,"May 29, 1996",1996
Parker Porter,"6' 0""",265 lbs.,"75.0""",Orthodox,14,9,"Apr 22, 1985",1985
Adam Milstead,"6' 3""",205 lbs.,"76.0""",Orthodox,8,4,"Jul 03, 1987",1987
Felipe Portela,--,170 lbs.,--,,9,2,"Nov 23, 1987",1987
Alexander Poppeck,"6' 2""",205 lbs.,--,Orthodox,9,3,"Apr 06, 1992",1992
Santiago Ponzinibbio,"6' 0""",170 lbs.,"73.0""",Orthodox,30,8,"Sep 26, 1986",1986
Grigory Popov,"5' 7""",135 lbs.,"68.0""",Switch,13,3,"Apr 18, 1984",1984
Brandon Polcare,--,125 lbs.,--,,1,1,--,--
Julia Polastri,"5' 2""",115 lbs.,"63.0""",Orthodox,12,4,"Mar 05, 1998",1998
Mike Polchlopek,"6' 4""",285 lbs.,--,Orthodox,1,1,"Dec 27, 1965",1965
Mo Miller,"5' 8""",135 lbs.,"72.0""",Orthodox,6,0,"Aug 10, 1992",1992
John Polakowski,"5' 10""",155 lbs.,--,Orthodox,2,2,"Jun 21, 1981",1981
Aaron Miller,"5' 9""",145 lbs.,--,,14,10,--,--
Micah Miller,"6' 0""",145 lbs.,--,Orthodox,20,8,"Feb 14, 1987",1987
Henry Miller,"5' 7""",270 lbs.,--,Southpaw,6,16,"Jul 16, 1969",1969
Cole Miller,"6' 1""",145 lbs.,"73.0""",Orthodox,21,11,"Apr 26, 1984",1984
Jason Miller,"6' 1""",185 lbs.,--,Orthodox,23,10,"Dec 24, 1980",1980
Dustin Poirier,"5' 9""",155 lbs.,"72.0""",Southpaw,30,9,"Jan 19, 1989",1989
Jim Miller,"5' 8""",155 lbs.,"71.0""",Southpaw,37,18,"Aug 30, 1983",1983
Jamal Pogues,"6' 3""",205 lbs.,"77.0""",Orthodox,11,4,"Dec 01, 1995",1995
Dan Miller,"6' 1""",185 lbs.,"74.0""",Orthodox,14,8,"Jun 30, 1981",1981
Ross Pointon,"5' 8""",170 lbs.,--,Orthodox,6,17,"Feb 18, 1980",1980
Phillip Miller,"5' 11""",185 lbs.,--,Orthodox,16,0,"Feb 20, 1979",1979
Igor Pokrajac,"6' 0""",205 lbs.,"74.0""",Orthodox,28,13,"Jan 02, 1979",1979
Dmitry Poberezhets,"6' 3""",237 lbs.,--,,24,5,"Jun 11, 1985",1985
Maki Pitolo,"5' 10""",185 lbs.,"75.0""",Orthodox,13,9,"Nov 24, 1990",1990
Gaetano Pirrello,"5' 7""",135 lbs.,"65.0""",Orthodox,15,7,"Apr 29, 1992",1992
Luana Pinheiro,"5' 2""",115 lbs.,"62.0""",Orthodox,11,3,"Nov 18, 1992",1992
Mario Pinto,--,265 lbs.,--,,8,0,"Mar 14, 1998",1998
Pingyuan Liu,"5' 6""",135 lbs.,"72.0""",Orthodox,13,7,"Feb 13, 1993",1993
Curtis Millender,"6' 2""",170 lbs.,"76.0""",Orthodox,17,5,"Dec 01, 1987",1987
Gabriel Miglioli,"5' 8""",170 lbs.,--,,9,9,--,--
Pat Miletich,"5' 10""",170 lbs.,--,Orthodox,29,7,"Mar 09, 1968",1968
Billy Miles,"5' 10""",170 lbs.,--,Orthodox,2,2,"Apr 28, 1978",1978
Bojan Mihajlovic,"5' 11""",205 lbs.,"73.0""",Orthodox,10,6,"Mar 30, 1980",1980
Kristof Midoux,"6' 1""",220 lbs.,--,Orthodox,6,10,"Jul 30, 1974",1974
Chris Mierzwiak,"6' 1""",185 lbs.,--,,5,3,"Feb 14, 1988",1988
Keith Mielke,"5' 8""",185 lbs.,--,,0,5,--,--
Chris Mickle,"5' 9""",145 lbs.,--,Orthodox,30,21,"Jul 10, 1983",1983
Sean Pierson,"6' 0""",170 lbs.,"76.0""",Southpaw,14,6,"Mar 10, 1976",1976
Domingo Pilarte,"6' 0""",135 lbs.,"73.0""",Southpaw,8,3,"Jan 05, 1990",1990
Daniel Pineda,"5' 7""",145 lbs.,"69.0""",Orthodox,28,16,"Aug 06, 1985",1985
Paddy Pimblett,"5' 10""",155 lbs.,"73.0""",Orthodox,22,3,"Jan 03, 1995",1995
Zachary Micklewright,"6' 0""",155 lbs.,"74.0""",Southpaw,15,3,"Aug 21, 1976",1976
Jonathan Piersma,"5' 11""",170 lbs.,"73.0""",Orthodox,9,3,"Mar 03, 1996",1996
Joao Pierini,"6' 1""",155 lbs.,--,Switch,4,1,"Dec 11, 1971",1971
Mike Pierce,"5' 8""",170 lbs.,"71.0""",Orthodox,17,7,"Sep 01, 1980",1980
Oskar Piechota,"6' 0""",185 lbs.,"76.0""",Southpaw,11,3,"Jan 24, 1990",1990
Fabiola Pidroni,--,115 lbs.,--,,5,0,"Jan 04, 1994",1994
Andreas Michailidis,"6' 0""",170 lbs.,"76.0""",Orthodox,13,6,"Jul 18, 1988",1988
Nick Piedmont,"5' 10""",145 lbs.,--,,12,7,--,--
David Michaud,"5' 9""",155 lbs.,--,Orthodox,11,3,"Nov 10, 1988",1988
Brandon Michaels,"5' 9""",185 lbs.,--,,4,14,--,--
Yaotzin Meza,"5' 9""",145 lbs.,"71.0""",Orthodox,21,11,"Feb 04, 1981",1981
Joe Merritt,"6' 0""",170 lbs.,--,Orthodox,7,2,"Mar 07, 1984",1984
Guy Mezger,"6' 1""",200 lbs.,--,Orthodox,30,14,"Jan 01, 1968",1968
Jonathan Meunier,"6' 3""",170 lbs.,--,Switch,8,1,"Aug 04, 1987",1987
Jeremiah Metcalf,"6' 1""",185 lbs.,--,Orthodox,13,7,--,--
Nick Meregali,--,--,--,,0,0,--,--
Adam Meredith,"6' 2""",170 lbs.,--,,5,3,--,--
Buck Meredith,"6' 2""",185 lbs.,--,,3,3,"May 17, 1982",1982
Jamie Pickett,"6' 2""",185 lbs.,"80.0""",Orthodox,13,11,"Aug 29, 1988",1988
Nick Piccininni,"5' 6""",125 lbs.,"66.0""",Orthodox,7,0,"Dec 16, 1996",1996
Brad Pickett,"5' 6""",135 lbs.,"68.0""",Orthodox,25,14,"Sep 24, 1978",1978
Vinc Pichel,"5' 10""",155 lbs.,"72.0""",Orthodox,14,4,"Nov 23, 1982",1982
Adam Piccolotti,"5' 11""",155 lbs.,--,,9,0,"Oct 23, 1988",1988
Mario Piazzon,"5' 9""",265 lbs.,"73.0""",Orthodox,8,0,"Apr 06, 1998",1998
Nick Pica,"5' 10""",185 lbs.,--,,5,1,--,--
Kyler Phillips,"5' 8""",135 lbs.,"72.0""",Orthodox,12,2,"Jun 12, 1995",1995
John Phillips,"5' 11""",185 lbs.,"75.0""",Southpaw,22,11,"Jun 09, 1985",1985
Elizabeth Phillips,"5' 6""",135 lbs.,"65.0""",Orthodox,6,6,"Aug 20, 1986",1986
Dave Menne,"5' 10""",170 lbs.,--,Orthodox,45,17,"Jul 29, 1974",1974
Ivan Menjivar,"5' 6""",145 lbs.,"64.0""",Orthodox,25,12,"May 30, 1982",1982
Steve Mensing,"5' 11""",185 lbs.,--,Orthodox,9,13,"Dec 06, 1977",1977
Alonzo Menifield,"6' 0""",205 lbs.,"76.0""",Orthodox,15,5,"Oct 18, 1987",1987
Pietro Menga,"5' 7""",125 lbs.,"68.0""",Southpaw,13,0,"Feb 15, 1988",1988
Luis Mendoza,--,155 lbs.,--,,0,1,--,--
Augusto Mendes,"5' 6""",135 lbs.,"65.0""",Orthodox,6,2,"Mar 03, 1983",1983
Aaron Phillips,"5' 9""",135 lbs.,"71.0""",Southpaw,12,5,"Aug 05, 1989",1989
Eddie Mendez,"5' 10""",185 lbs.,--,,8,3,"Jan 16, 1984",1984
Mateus Mendonca,"5' 6""",125 lbs.,"71.0""",Orthodox,10,3,"Jan 17, 1999",1999
Constantinos Philippou,"5' 11""",185 lbs.,"73.0""",Orthodox,13,5,"Nov 29, 1979",1979
Dave Phillips,"6' 0""",185 lbs.,--,Orthodox,13,7,"Jan 12, 1980",1980
